Country,Status,Process,Age Group,Sex,  POC  
Other Nationalites,ASR,A,18 - 59 years,Female, 1 
Other Nationalites,REF,A,18 - 59 years,Female, 1 
Other Nationalites,ASR,A,18 - 59 years,Female, 3 
Other Nationalites,ASR,A,18 - 59 years,Male, 3 
Other Nationalites,ASR,A,0 - 4 years,Female, 4 
Other Nationalites,ASR,A,0 - 4 years,Male, 2 
Other Nationalites,ASR,A,12 - 17 years,Female, 1 
Other Nationalites,ASR,A,18 - 59 years,Female, 58 
Other Nationalites,ASR,A,18 - 59 years,Male, 17 
Other Nationalites,REF,A,0 - 4 years,Female, 3 
Other Nationalites,REF,A,0 - 4 years,Male, 3 
Other Nationalites,REF,A,12 - 17 years,Female, 3 
Other Nationalites,REF,A,12 - 17 years,Male, 1 
Other Nationalites,REF,A,18 - 59 years,Female, 32 
Other Nationalites,REF,A,18 - 59 years,Male, 26 
Other Nationalites,REF,A,5 - 11 years,Female, 5 
Other Nationalites,REF,A,5 - 11 years,Male, 5 
Other Nationalites,ASR,A,0 - 4 years,Female, 2 
Other Nationalites,ASR,A,0 - 4 years,Male, 3 
Other Nationalites,ASR,A,12 - 17 years,Female, 2 
Other Nationalites,ASR,A,18 - 59 years,Female, 121 
Other Nationalites,ASR,A,18 - 59 years,Male, 82 
Other Nationalites,ASR,A,5 - 11 years,Female, 3 
Other Nationalites,ASR,A,5 - 11 years,Male, 1 
Other Nationalites,ASR,A,60+ years,Male, 1 
Other Nationalites,REF,A,0 - 4 years,Female, 4 
Other Nationalites,REF,A,0 - 4 years,Male, 4 
Other Nationalites,REF,A,12 - 17 years,Female, 6 
Other Nationalites,REF,A,12 - 17 years,Male, 4 
Other Nationalites,REF,A,18 - 59 years,Female, 37 
Other Nationalites,REF,A,18 - 59 years,Male, 19 
Other Nationalites,REF,A,5 - 11 years,Female, 6 
Other Nationalites,REF,A,5 - 11 years,Male, 8 
Other Nationalites,REF,A,60+ years,Female, 2 
Other Nationalites,REF,H,18 - 59 years,Female, 1 
Other Nationalites,ASR,A,18 - 59 years,Female, 6 
Other Nationalites,REF,A,18 - 59 years,Female, 1 
Somalis,ASR,A,0 - 4 years,Female,26
Somalis,ASR,A,0 - 4 years,Male,36
Somalis,ASR,A,12 - 17 years,Female,52
Somalis,ASR,A,12 - 17 years,Male,45
Somalis,ASR,A,18 - 59 years,Female,659
Somalis,ASR,A,18 - 59 years,Male,677
Somalis,ASR,A,5 - 11 years,Female,60
Somalis,ASR,A,5 - 11 years,Male,52
Somalis,ASR,A,60+ years,Female,17
Somalis,ASR,A,60+ years,Male,19
Somalis,REF,A,0 - 4 years,Female,60
Somalis,REF,A,0 - 4 years,Male,63
Somalis,REF,A,12 - 17 years,Female,158
Somalis,REF,A,12 - 17 years,Male,167
Somalis,REF,A,18 - 59 years,Female,747
Somalis,REF,A,18 - 59 years,Male,630
Somalis,REF,A,5 - 11 years,Female,139
Somalis,REF,A,5 - 11 years,Male,175
